player_id,player_name,bowling_style,innings_bowled,total_overs,total_balls,total_runs,economy,wickets
2109.0,Guy Whittall,right-arm medium,2,675.2,4060.0,3481.0,5.155509478672985,120.0
1891.0,Haafiz Shahid,right-arm fast-medium,1,21.1,127.0,112.0,5.308056872037914,1.0
2204.0,Habibul Bashar,right-arm offbreak,2,29.1,175.0,142.0,4.8797250859106525,100.0
53326.0,Hamid Hassan,right-arm fast,2,288.6,1734.0,1330.0,4.6084546084546085,16.0
10423.0,Hamilton Masakadza,right-arm medium,2,306.0,1844.0,1636.0,5.34640522875817,205.0
2240.0,Hamish Anthony,right-arm fast-medium,1,26.0,156.0,143.0,5.5,3.0
48928.0,Hamish Bennett,right-arm medium-fast,2,148.4,892.0,820.0,5.525606469002695,2.0
58881.0,Hammad Azam,right-arm medium,2,33.0,198.0,169.0,5.121212121212121,5.0
76927.0,Hamza Tahir,slow left-arm orthodox,2,241.8,1454.0,1033.0,4.272125723738627,6.0
10232.0,Hannan Sarkar,right-arm medium,1,0.3,3.0,13.0,43.333333333333336,20.0
2010.0,Hansie Cronje,right-arm medium,2,890.5,5357.0,3966.0,4.453677709152162,144.0
7139.0,Harbhajan Singh,right-arm offbreak,2,2078.3,12479.0,8973.0,4.317471009960063,93.0
70633.0,Hardik Pandya,right-arm medium-fast,2,531.9,3199.0,2960.0,5.564955818762925,52.0
103878.0,Haris Rauf,right-arm fast,2,305.1,1835.0,1822.0,5.971812520485086,8.0
53639.0,Haris Sohail,slow left-arm orthodox,2,107.0,642.0,613.0,5.728971962616822,39.0
95161.0,Harrison Carlyon,right-arm offbreak,2,30.0,180.0,141.0,4.7,5.0
49441.0,Harry Gurney,left-arm fast-medium,2,75.5,455.0,432.0,5.7218543046357615,2.0
89741.0,Harry Tector,right-arm offbreak,2,35.0,210.0,217.0,6.2,35.0
84169.0,Harsh Thaker,right-arm offbreak,2,99.1,595.0,413.0,4.167507568113018,9.0
6379.0,Harvinder Singh,right-arm fast-medium,2,114.2,686.0,609.0,5.332749562171629,4.0
57210.0,Harvir Baidwan,right-arm medium,2,257.9,1551.0,1348.0,5.226832105467236,15.0
72719.0,Hasan Ali,right-arm medium-fast,2,528.8,3188.0,3084.0,5.832072617246596,27.0
21428.0,Hasan Durham,slow left-arm orthodox,2,66.0,400.0,343.0,5.196969696969697,4.0
1484.0,Hasan Jamil,left-arm medium-fast,2,35.0,232.0,154.0,4.4,5.0
85693.0,Hasan Mahmud,right-arm fast-medium,2,159.3,957.0,963.0,6.045197740112994,10.0
44683.0,Hasantha Fernando,right-arm medium-fast,2,39.0,234.0,159.0,4.076923076923077,2.0
66839.0,Haseeb Amjad,right-arm medium-fast,1,57.0,342.0,288.0,5.052631578947368,5.0
