matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,player_name
41,41,574,970,67,1,14.0,59.175257731958766,Tushar Imran
5,5,27,59,2,0,5.4,45.76271186440678,Tyson Gordon
4,4,26,28,2,1,6.5,92.85714285714286,Uday Bhagwan
3,3,3,6,0,0,1.0,50.0,Ujesh Ranchod
2,2,20,30,0,1,10.0,66.66666666666666,Umair Ali
121,121,3194,3712,268,53,26.39669421,86.04525862068965,Umar Akmal
16,16,271,392,28,2,16.9375,69.13265306122449,Umar Amin
36,36,378,513,28,6,10.5,73.68421052631578,Umar Bhatti
130,130,457,642,36,14,3.515384615,71.18380062305296,Umar Gul
74,74,79,134,8,1,1.067567568,58.95522388059702,Umesh Yadav
10,10,2,11,0,0,0.2,18.181818181818183,Umran Malik
147,147,1627,2229,108,22,11.06802721,72.99237326155227,Upul Chandana
227,227,6951,9155,798,52,30.62114537,75.92572364827963,Upul Tharanga
12,12,40,34,2,3,3.333333333,117.64705882352942,Usama Mir
17,17,435,578,39,10,25.58823529,75.25951557093425,Usman Ghani
39,39,1554,1848,150,13,39.84615385,84.0909090909091,Usman Khawaja
11,11,189,284,19,1,17.18181818,66.54929577464789,Usman Limbada
1,1,3,7,0,0,3.0,42.857142857142854,Usman Mushtaq
1,1,0,0,0,0,0.0,0.0,Usman Qadir
2,2,28,40,4,0,14.0,70.0,Usman Rafiq
2,2,13,28,0,0,6.5,46.42857142857143,Usman Salahuddin
17,17,6,7,0,1,0.352941176,85.71428571428571,Usman Shinwari
3,3,6,30,0,0,2.0,20.0,Utpal Chatterjee
19,19,229,386,8,3,12.05263158,59.32642487046632,Uvais Karnain
7,7,88,162,11,0,12.57142857,54.32098765432099,V.B.Chandrasekhar
85,85,2338,3282,222,4,27.50588235,71.2370505789153,VVS Laxman
12,12,64,85,4,2,5.333333333,75.29411764705883,Vanburn Holder
13,13,313,460,24,4,24.07692308,68.04347826086956,Vani Morea
9,9,8,15,1,0,0.888888889,53.333333333333336,Varun Aaron
34,34,94,174,6,0,2.764705882,54.02298850574713,Vasbert Drakes
3,3,44,85,3,0,14.66666667,51.76470588235295,Vaughan Brown
2,2,9,15,0,0,4.5,60.0,Vaughn van Jaarsveld
7,7,19,26,1,0,2.714285714,73.07692307692307,Veerasammy Permaul
53,53,32,67,1,0,0.603773585,47.76119402985074,Venkatapathy Raju
2,2,24,40,0,1,12.0,60.0,Venkatesh Iyer
159,159,221,367,7,5,1.389937107,60.217983651226156,Venkatesh Prasad
16,16,218,363,16,3,13.625,60.05509641873278,Venugopal Rao
30,30,151,213,14,0,5.033333333,70.89201877934272,Vernon Philander
34,34,285,434,16,0,8.382352941,65.66820276497695,Vic Marks
2,2,67,145,9,1,33.5,46.206896551724135,Vic Pollard
1,1,0,5,0,0,0.0,0.0,Victor Grandia
2,2,1,1,0,0,0.5,100.0,Victor Mpitsang
10,10,43,52,5,1,4.3,82.6923076923077,Victor Nyauchi
10,10,136,194,15,1,13.6,70.10309278350515,Vijay Bharadwaj
19,19,216,267,18,3,11.36842105,80.89887640449437,Vijay Dahiya
6,6,92,202,10,0,15.33333333,45.54455445544555,Vijay Mehra
12,12,223,246,20,4,18.58333333,90.65040650406505,Vijay Shankar
19,19,118,116,7,2,6.210526316,101.72413793103448,Vijay Yadav
7,7,193,331,16,1,27.57142857,58.30815709969789,Vikram Rathour
2,2,8,13,1,0,4.0,61.53846153846154,Vikram Singh
51,51,1097,1504,135,7,21.50980392,72.93882978723404,Vikram Solanki
32,32,964,1289,116,13,30.125,74.7866563227308,Vikramjit Singh
2,2,16,29,1,0,8.0,55.172413793103445,Vikrant Shetty
31,31,86,146,5,2,2.774193548,58.9041095890411,Vinay Kumar
2,2,7,19,0,0,3.5,36.84210526315789,Vince Hogg
9,9,141,253,8,2,15.66666667,55.73122529644269,Vince Wells
104,104,2477,3443,187,20,23.81730769,71.94307290153935,Vinod Kambli
43,43,84,152,7,0,1.953488372,55.26315789473685,Vinothen John
288,288,13848,14797,1294,151,48.08333333,93.5865378117186,Virat Kohli
248,248,8273,7929,1132,136,33.35887097,104.33850422499684,Virender Sehwag
2,2,17,47,1,0,8.5,36.17021276595745,Vishnu Sukumaran
8,8,30,61,3,0,3.75,49.18032786885246,Vishwa Fernando
186,186,6721,7451,600,126,36.1344086,90.202657361428,Viv Richards
3,3,23,27,3,0,7.666666667,85.18518518518519,Vivek Razdan
22,22,14,53,0,1,0.636363636,26.41509433962264,Vivian Kingma
57,57,1770,2535,173,16,31.05263158,69.8224852071006,Vriitya Aravind
126,126,2994,4716,328,35,23.76190476,63.48600508905853,Vusi Sibanda
3,3,1,11,0,0,0.333333333,9.090909090909092,Waddington Mwayenga
91,91,740,849,55,30,8.131868132,87.16136631330977,Wahab Riaz
7,7,73,129,8,2,10.42857143,56.58914728682171,Waheed Ahmed
1,1,0,0,0,0,0.0,0.0,Wahidul Gani
15,15,349,713,38,2,23.26666667,48.94810659186536,Wajahatullah Wasti
1,1,2,14,0,0,2.0,14.285714285714285,Wally Edwards
54,54,895,806,79,31,16.57407407,111.04218362282879,Wanindu Hasaranga
262,262,969,1445,58,21,3.698473282,67.05882352941175,Waqar Younis
10,10,102,184,10,0,10.2,55.434782608695656,Waqas Barkat
8,8,67,137,3,0,8.375,48.9051094890511,Waqas Khan
31,31,215,307,11,4,6.935483871,70.03257328990227,Warren Lees
1,1,0,0,0,0,0.0,0.0,Warren Stott
2,2,10,17,1,0,5.0,58.82352941176471,Warren Wisneski
19,19,265,311,20,7,13.94736842,85.20900321543408,Washington Sundar
356,356,3717,4208,247,121,10.44101124,88.33174904942965,Wasim Akram
1,1,2,2,0,0,2.0,100.0,Wasim Ali
51,51,221,431,11,0,4.333333333,51.27610208816705,Wasim Bari
3,3,26,70,1,0,8.666666667,37.142857142857146,Wasim Haider
2,2,10,23,2,0,5.0,43.47826086956522,Wasim Jaffer
54,54,782,1168,58,11,14.48148148,66.95205479452055,Wasim Raja
117,117,2880,4393,261,50,24.61538462,65.55884361484179,Wavell Hinds
2,2,0,0,0,0,0.0,0.0,Wayne Clark
18,18,49,56,4,0,2.722222222,87.5,Wayne Daniel
11,11,101,255,4,0,9.181818182,39.6078431372549,Wayne James
24,24,591,1047,67,3,24.625,56.446991404011456,Wayne Larkins
72,72,574,723,43,9,7.972222222,79.39142461964039,Wayne Parnell
45,45,852,994,76,5,18.93333333,85.71428571428571,Wayne Phillips
37,37,208,350,17,2,5.621621622,59.42857142857143,Wellington Masakadza
2,2,50,42,4,2,25.0,119.04761904761905,Wes Agar
50,50,1276,1634,131,21,25.52,78.0905752753978,Wesley Barresi
35,35,705,919,65,5,20.14285714,76.71381936887923,Wessly Madhevere
15,15,82,104,11,0,5.466666667,78.84615384615384,Wiaan Mulder
2,2,43,85,5,1,21.5,50.588235294117645,Wilf Slack
1,1,6,7,1,0,6.0,85.71428571428571,Wilfred Diepeveen
7,7,276,260,24,13,39.42857143,106.15384615384616,Will Jacks
2,2,18,33,0,0,9.0,54.54545454545454,Will Sutherland
31,31,1244,1415,132,26,40.12903226,87.91519434628975,Will Young
3,3,1,5,0,0,0.333333333,20.0,William O’Rourke
145,145,4343,6298,455,32,29.95172414,68.95839949190218,William Porterfield
4,4,4,6,1,0,1.0,66.66666666666666,Willie Gavera
61,61,86,180,6,2,1.409836066,47.77777777777778,Willie Watson
85,85,298,406,18,6,3.505882353,73.39901477832512,Winston Benjamin
34,34,28,53,1,0,0.823529412,52.83018867924528,Winston Davis
27,27,617,1109,47,5,22.85185185,55.635707844905326,Woorkeri Raman
9,9,41,56,5,0,4.555555556,73.21428571428571,Wriddhiman Saha
2,2,0,0,0,0,0.0,0.0,Xavier Bartlett
58,58,101,184,5,1,1.74137931,54.891304347826086,Xavier Doherty
37,37,596,902,59,17,16.10810811,66.07538802660754,Xavier Marshall
9,9,9,32,0,0,1.0,28.125,Yamin Ahmadzai
14,14,93,166,6,1,6.642857143,56.024096385542165,Yannic Cariah
42,42,883,1401,52,10,21.02380952,63.026409707351895,Yashpal Sharma
9,9,102,114,8,4,11.33333333,89.47368421052632,Yasir Ali
11,11,74,110,7,1,6.727272727,67.27272727272727,Yasir Arafat
