matches_bat,innings_batted,runs,balls,fours,sixes,bat_avg,strike_rate,matches_bowl,innings_bowled,wickets,runs_conceded,overs,player_name
22,22,117.0,249.0,5.0,2.0,5.318181818181818,46.98795180722892,,,,,,Blessing Mahwire
47,47,122.0,253.0,9.0,2.0,2.595744680851064,48.22134387351779,,,,,,Blessing Muzarabani
2,2,0.0,0.0,0.0,0.0,0.0,,,,,,,Bob Holland
3,3,16.0,24.0,2.0,0.0,5.333333333333333,66.66666666666666,,,,,,Bob Massie
2,2,36.0,53.0,3.0,1.0,18.0,67.9245283018868,,,,,,Bob Simpson
27,27,130.0,312.0,7.0,0.0,4.814814814814815,41.66666666666667,,,,,,Bob Taylor
64,64,83.0,157.0,6.0,0.0,1.296875,52.86624203821656,,,,,,Bob Willis
6,6,21.0,46.0,1.0,0.0,3.5,45.65217391304348,,,,,,Bob Woolmer
106,106,3421.0,5047.0,334.0,16.0,32.27358490566038,67.78284129185654,,,,,,Boeta Dippenaar
3,3,29.0,55.0,3.0,0.0,9.666666666666666,52.72727272727272,,,,,,Boris Gorlee
74,74,100.0,239.0,4.0,1.0,1.3513513513513513,41.84100418410041,,,,,,Boyd Rankin
15,15,121.0,150.0,9.0,2.0,8.066666666666666,80.66666666666666,,,,,,Brad Evans
122,122,3111.0,3689.0,295.0,71.0,25.5,84.33179723502305,,,,,,Brad Haddin
25,25,575.0,657.0,51.0,12.0,23.0,87.51902587519027,,,,,,Brad Hodge
120,120,790.0,1005.0,41.0,5.0,6.583333333333333,78.60696517412936,,,,,,Brad Hogg
13,13,40.0,68.0,5.0,0.0,3.076923076923077,58.82352941176471,,,,,,Brad Wheal
25,25,27.0,46.0,2.0,0.0,1.08,58.69565217391305,,,,,,Brad Williams
6,6,31.0,47.0,2.0,0.0,5.166666666666667,65.95744680851064,,,,,,Brad Young
3,3,8.0,13.0,0.0,0.0,2.6666666666666665,61.53846153846154,,,,,,Bradley Currie
5,5,32.0,50.0,3.0,0.0,6.4,64.0,,,,,,Bradley Kruger
9,9,29.0,46.0,3.0,0.0,3.2222222222222223,63.04347826086957,,,,,,Brandon Glover
37,37,1054.0,1254.0,122.0,24.0,28.486486486486488,84.05103668261563,,,,,,Brandon King
12,12,88.0,88.0,10.0,1.0,7.333333333333333,100.0,,,,,,Brandon Mavuta
18,18,631.0,738.0,63.0,13.0,35.05555555555556,85.50135501355014,,,,,,Brandon McMullen
9,9,104.0,141.0,11.0,1.0,11.555555555555555,73.75886524822694,,,,,,Brendan Nash
204,204,6684.0,8721.0,599.0,106.0,32.76470588235294,76.64258685930513,,,,,,Brendan Taylor
1,1,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,Brendon Bracewell
1,1,26.0,22.0,3.0,0.0,26.0,118.18181818181819,,,,,,Brendon Diamanti
25,25,224.0,250.0,17.0,6.0,8.96,89.60000000000001,,,,,,Brendon Julian
52,52,1022.0,1978.0,79.0,4.0,19.653846153846153,51.66835187057634,,,,,,Brendon Kuruppu
252,252,6083.0,6312.0,577.0,200.0,24.13888888888889,96.37198986058301,,,,,,Brendon McCullum
7,7,122.0,217.0,16.0,1.0,17.428571428571427,56.22119815668203,,,,,,Brenton Parchment
4,4,2.0,8.0,0.0,0.0,0.5,25.0,,,,,,Brett Dorey
2,2,10.0,11.0,1.0,0.0,5.0,90.9090909090909,,,,,,Brett Geeves
218,218,1176.0,1407.0,69.0,35.0,5.394495412844036,83.5820895522388,,,,,,Brett Lee
1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,Brett Schultz
14,14,186.0,399.0,12.0,2.0,13.285714285714286,46.616541353383454,,,,,,Brian Chari
3,3,49.0,50.0,7.0,1.0,16.333333333333332,98.0,,,,,,Brian Close
10,10,151.0,271.0,14.0,0.0,15.1,55.71955719557196,,,,,,Brian Hastings
295,295,10405.0,13086.0,1042.0,133.0,35.271186440677965,79.51245605991136,,,,,,Brian Lara
3,3,15.0,69.0,1.0,0.0,5.0,21.73913043478261,,,,,,Brian Luckhurst
14,14,54.0,145.0,4.0,0.0,3.857142857142857,37.24137931034483,,,,,,Brian McKechnie
78,78,841.0,1147.0,55.0,7.0,10.782051282051283,73.32170880557977,,,,,,Brian McMillan
31,31,72.0,130.0,5.0,0.0,2.3225806451612905,55.38461538461539,,,,,,Brian Murphy
2,2,99.0,210.0,7.0,0.0,49.5,47.14285714285714,,,,,,Brian Rose
24,24,86.0,90.0,5.0,7.0,3.5833333333333335,95.55555555555556,,,,,,Brian Vitori
31,31,360.0,736.0,46.0,1.0,11.612903225806452,48.91304347826087,,,,,,Brijal Patel
10,10,243.0,399.0,22.0,3.0,24.3,60.902255639097746,,,,,,Brijesh Patel
11,11,47.0,79.0,3.0,0.0,4.2727272727272725,59.49367088607595,,,,,,Brooke Walker
14,14,174.0,253.0,12.0,1.0,12.428571428571429,68.77470355731225,,,,,,Bruce Blair
64,64,1814.0,3685.0,126.0,3.0,28.34375,49.22659430122117,,,,,,Bruce Edgar
13,13,34.0,71.0,1.0,0.0,2.6153846153846154,47.88732394366197,,,,,,Bruce French
23,23,594.0,1105.0,52.0,0.0,25.82608695652174,53.755656108597286,,,,,,Bruce Laird
3,3,10.0,43.0,2.0,0.0,3.3333333333333335,23.25581395348837,,,,,,Bruce Patterson
60,60,49.0,117.0,2.0,0.0,0.8166666666666667,41.88034188034188,,,,,,Bruce Reid
1,1,22.0,42.0,4.0,0.0,22.0,52.38095238095239,,,,,,Bruce Taylor
7,7,58.0,98.0,1.0,0.0,8.285714285714286,59.183673469387756,,,,,,Bruce Yardley
3,3,20.0,68.0,0.0,1.0,6.666666666666667,29.411764705882355,,,,,,Bryan Mauricette
49,49,92.0,220.0,3.0,2.0,1.8775510204081634,41.81818181818181,,,,,,Bryan Strang
74,74,1668.0,2733.0,164.0,2.0,22.54054054054054,61.031833150384195,,,,,,Bryan Young
14,14,155.0,161.0,11.0,4.0,11.071428571428571,96.27329192546584,,,,,,Brydon Carse
3,3,26.0,38.0,3.0,0.0,8.666666666666666,68.42105263157895,,,,,,Burton van Rooi
30,30,663.0,777.0,64.0,0.0,22.1,85.32818532818533,,,,,,Callum Ferguson
87,87,3026.0,3756.0,312.0,35.0,34.7816091954023,80.56443024494143,,,,,,Calum MacLeod
