Match ID,Match Date,Series Name,team1 name,team1 runs_scored,team1 wickets_lost,Match Winner,Match Venue (Stadium),Match Venue (City),Match Venue (Country),team2 name, Team2 runs_scored,Team2 wickets_lost
66334,2001-12-16,"LG Abans Triangular Series Sri Lanka, West Indies, Zimbabwe in Sri Lanka - 2001 (2001/02)",Zimbabwe,154.0,10.0,West Indies,Asgiriya Stadium,Kandy,Sri Lanka,,,
66335,2001-12-19,"LG Abans Triangular Series Sri Lanka, West Indies, Zimbabwe in Sri Lanka - 2001 (2001/02)",Sri Lanka,253.0,8.0,Sri Lanka,R Premadasa Stadium,Colombo,Sri Lanka,,,
65615,2002-01-11,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",New Zealand,199.0,8.0,New Zealand,Melbourne Cricket Ground,Melbourne,Australia,,,
65616,2002-01-13,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",Australia,198.0,10.0,South Africa,Melbourne Cricket Ground,Melbourne,Australia,,,
65617,2002-01-15,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",South Africa,257.0,7.0,South Africa,Bellerive Oval,Hobart,Australia,,,
65618,2002-01-17,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",New Zealand,235.0,9.0,New Zealand,Sydney Cricket Ground,Sydney,Australia,,,
65619,2002-01-19,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",South Africa,241.0,10.0,New Zealand,Brisbane Cricket Ground,Brisbane,Australia,,,
64736,2002-01-19,England tour of India  - 2001 (2001/02),India,281.0,8.0,India,Eden Gardens,Kolkata,India,,,
65620,2002-01-20,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",Australia,241.0,4.0,Australia,Brisbane Cricket Ground,Brisbane,Australia,,,
64737,2002-01-22,Pakistan tour of Bangladesh  - 2002 (2001/02),Pakistan,202.0,10.0,Pakistan,Chittagong Stadium,Chattogram,Bangladesh,,,
65621,2002-01-22,"VB Series Australia, New Zealand, South Africa in Australia - 2002 (2001/02)",South Africa,106.0,10.0,Australia,Sydney Cricket Ground,Sydney,Australia,,,
64738,2002-01-22,England tour of India  - 2001 (2001/02),England,250.0,7.0,England,Barabati Stadium,Cuttack,India,,,
64739,2002-01-24,Pakistan tour of Bangladesh  - 2002 (2001/02),Pakistan,281.0,5.0,Pakistan,Bangabandhu National Stadium,Dhaka,Bangladesh,,,
64740,2002-01-25,Pakistan tour of Bangladesh  - 2002 (2001/02),Bangladesh,220.0,10.0,Pakistan,Bangabandhu National Stadium,Dhaka,Bangladesh,,,
64741,2002-01-25,England tour of India  - 2001 (2001/02),England,217.0,10.0,India,MA Chidambaram Stadium,Chennai,India,,,
